Date,Open,High,Low,Close,Adj Close,Volume
2020-07-28,44.45000076293945,44.849998474121094,39.25,40.20000076293945,39.98965072631836,51805011
2020-07-29,40.0,40.29999923706055,37.599998474121094,39.150001525878906,38.94514465332031,21934229
2020-07-30,39.650001525878906,42.0,39.29999923706055,40.04999923706055,39.84043502807617,38572300
2020-07-31,40.79999923706055,42.0,40.5,41.650001525878906,41.432064056396484,21340345
2020-08-03,42.150001525878906,43.0,40.54999923706055,40.75,40.536773681640625,25229928
2020-08-04,41.20000076293945,41.650001525878906,39.400001525878906,39.70000076293945,39.49226760864258,26443818
2020-08-05,39.45000076293945,41.25,39.29999923706055,40.75,40.536773681640625,19029600
2020-08-06,40.900001525878906,41.0,39.0,39.54999923706055,39.34305191040039,18717277
2020-08-07,39.849998474121094,40.849998474121094,39.0,39.20000076293945,38.9948844909668,18537718
2020-08-10,37.0,38.45000076293945,37.0,37.25,37.05508804321289,26858391
2020-08-11,37.599998474121094,38.75,35.349998474121094,36.150001525878906,35.96084213256836,25472679
2020-08-12,35.79999923706055,36.150001525878906,33.400001525878906,34.650001525878906,34.468692779541016,34648373
2020-08-13,34.650001525878906,38.25,33.95000076293945,37.5,37.30377960205078,27680300
2020-08-14,37.400001525878906,38.150001525878906,36.20000076293945,37.20000076293945,37.005348205566406,12145638
2020-08-17,37.400001525878906,40.25,37.29999923706055,38.79999923706055,38.59697723388672,25764300
2020-08-18,39.349998474121094,39.79999923706055,38.5,39.099998474121094,38.89540481567383,12717495
2020-08-19,39.04999923706055,40.25,38.599998474121094,38.650001525878906,38.44776153564453,8541168
2020-08-20,37.79999923706055,39.45000076293945,37.79999923706055,39.150001525878906,38.94514465332031,7990322
2020-08-21,39.650001525878906,40.400001525878906,39.400001525878906,39.599998474121094,39.39278793334961,13558474
2020-08-24,39.79999923706055,40.0,38.70000076293945,39.95000076293945,39.74095916748047,9688897
2020-08-25,40.5,41.04999923706055,38.54999923706055,39.75,39.5420036315918,19977937
2020-08-26,39.45000076293945,39.849998474121094,36.0,36.04999923706055,35.861366271972656,24584078
2020-08-27,34.70000076293945,36.70000076293945,34.150001525878906,35.599998474121094,35.413719177246094,35966922
2020-08-28,35.599998474121094,36.45000076293945,34.75,35.5,35.31424331665039,11471088
2020-08-31,35.5,35.900001525878906,32.349998474121094,33.20000076293945,33.02627944946289,32088139
2020-09-01,33.54999923706055,34.599998474121094,32.5,32.75,32.57863235473633,15592842
2020-09-02,32.70000076293945,34.0,31.600000381469727,33.79999923706055,33.623138427734375,21026938
2020-09-03,33.70000076293945,35.150001525878906,33.29999923706055,33.849998474121094,33.672874450683594,11820886
2020-09-04,32.29999923706055,33.849998474121094,32.25,33.0,32.82732391357422,7203886
2020-09-07,32.79999923706055,34.150001525878906,32.099998474121094,32.400001525878906,32.230464935302734,10849810
2020-09-08,32.79999923706055,34.0,32.400001525878906,33.150001525878906,32.97654342651367,11867040
2020-09-09,33.0,33.70000076293945,32.79999923706055,33.099998474121094,32.92679977416992,8702965
2020-09-10,33.599998474121094,35.25,33.349998474121094,33.95000076293945,33.77235412597656,13910126
2020-09-11,34.25,35.25,34.04999923706055,34.900001525878906,34.717384338378906,9395950
2020-09-14,35.25,37.79999923706055,35.150001525878906,37.75,37.55247116088867,18542385
2020-09-15,37.5,38.5,37.099998474121094,37.70000076293945,37.50273132324219,8480406
2020-09-16,37.900001525878906,37.900001525878906,36.75,36.95000076293945,36.756656646728516,6890294
2020-09-17,36.900001525878906,36.900001525878906,35.599998474121094,36.099998474121094,35.911102294921875,5485884
2020-09-18,36.099998474121094,37.599998474121094,36.04999923706055,37.150001525878906,36.95561218261719,7538021
2020-09-21,37.150001525878906,37.849998474121094,36.29999923706055,36.29999923706055,36.11005783081055,6963687
2020-09-22,36.099998474121094,37.29999923706055,35.599998474121094,35.70000076293945,35.51319885253906,7714000
2020-09-23,36.0,37.099998474121094,36.0,36.79999923706055,36.60744094848633,4327728
2020-09-24,36.45000076293945,36.79999923706055,36.099998474121094,36.29999923706055,36.11005783081055,4822000
2020-09-25,36.75,36.75,35.099998474121094,35.150001525878906,34.9660758972168,11923000
2020-09-28,35.349998474121094,35.650001525878906,33.650001525878906,33.849998474121094,33.672874450683594,15484702
2020-09-29,34.29999923706055,34.70000076293945,33.400001525878906,34.20000076293945,34.02104568481445,3903450
2020-09-30,33.95000076293945,34.95000076293945,33.70000076293945,34.95000076293945,34.76712417602539,4834000
2020-10-05,35.29999923706055,35.400001525878906,34.20000076293945,34.25,34.07078552246094,3056000
2020-10-06,34.25,35.0,34.04999923706055,35.0,34.81686019897461,5163000
2020-10-07,34.79999923706055,34.95000076293945,34.04999923706055,34.900001525878906,34.717384338378906,4210000
2020-10-08,35.099998474121094,35.29999923706055,34.25,34.54999923706055,34.36921310424805,3374400
2020-10-09,34.75,37.650001525878906,34.5,37.0,36.806396484375,20517246
2020-10-12,37.20000076293945,38.79999923706055,37.20000076293945,37.849998474121094,37.651947021484375,17576516
2020-10-14,37.79999923706055,39.20000076293945,37.29999923706055,38.599998474121094,38.39802169799805,13678600
2020-10-15,38.349998474121094,38.79999923706055,38.0,38.650001525878906,38.44776153564453,6565889
2020-10-16,38.95000076293945,39.150001525878906,37.70000076293945,38.29999923706055,38.09959030151367,5290700
2020-10-19,38.5,38.5,36.20000076293945,36.20000076293945,36.010581970214844,9939505
2020-10-20,36.29999923706055,37.599998474121094,36.25,37.45000076293945,37.2540397644043,5224398
2020-10-21,36.599998474121094,36.95000076293945,36.29999923706055,36.599998474121094,36.408485412597656,7037320
2020-10-22,36.849998474121094,37.099998474121094,36.0,36.25,36.06031799316406,6005386
2020-10-23,36.45000076293945,37.400001525878906,36.099998474121094,37.20000076293945,37.005348205566406,8201171
