Date,Open,High,Low,Close,Adj Close,Volume,macd,sig,hist,buy_price,sell_price,trigger_signal,position,holding,cash_holding,holding_value,market_value,portfolio_value,daily_return,cumulative_ret
2020-09-03,33.70,35.15,33.30,33.85,33.67,11820886,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-04,32.30,33.85,32.25,33.00,32.83,7203886,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-07,32.80,34.15,32.10,32.40,32.23,10849810,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-08,32.80,34.00,32.40,33.15,32.98,11867040,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-09,33.00,33.70,32.80,33.10,32.93,8702965,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-10,33.60,35.25,33.35,33.95,33.77,13910126,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-11,34.25,35.25,34.05,34.90,34.72,9395950,-1.42,-1.35,-0.07,,,-1.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-14,35.25,37.80,35.15,37.75,37.55,18542385,-1.07,-1.29,0.22,,35.25,1.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-15,37.50,38.50,37.10,37.70,37.50,8480406,-0.78,-1.19,0.41,37.50,,0.00,1.00,2000.00,25000.00,75400.00,75400.00,100400.00,0.00,0.00
2020-09-16,37.90,37.90,36.75,36.95,36.76,6890294,-0.61,-1.07,0.47,,,0.00,1.00,2000.00,25000.00,73900.00,0.00,98900.00,-0.01,-0.01
2020-09-17,36.90,36.90,35.60,36.10,35.91,5485884,-0.53,-0.97,0.43,,,0.00,1.00,2000.00,25000.00,72200.00,0.00,97200.00,-0.02,-0.03
2020-09-18,36.10,37.60,36.05,37.15,36.96,7538021,-0.38,-0.85,0.47,,,0.00,1.00,2000.00,25000.00,74300.00,0.00,99300.00,0.02,-0.01
2020-09-21,37.15,37.85,36.30,36.30,36.11,6963687,-0.33,-0.75,0.41,,,0.00,1.00,2000.00,25000.00,72600.00,0.00,97600.00,-0.02,-0.02
2020-09-22,36.10,37.30,35.60,35.70,35.51,7714000,-0.33,-0.66,0.33,,,0.00,1.00,2000.00,25000.00,71400.00,0.00,96400.00,-0.01,-0.04
2020-09-23,36.00,37.10,36.00,36.80,36.61,4327728,-0.24,-0.58,0.34,,,0.00,1.00,2000.00,25000.00,73600.00,0.00,98600.00,0.02,-0.01
2020-09-24,36.45,36.80,36.10,36.30,36.11,4822000,-0.21,-0.51,0.29,,,0.00,1.00,2000.00,25000.00,72600.00,0.00,97600.00,-0.01,-0.02
